ID,Gang name,Ransomware Type,Anno inizio attività,Anno fine attività,Country of origin,Source,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS
1,0mega,"Crypto-Ransomware, Data Broker",2022,,Russia;Eastern Europe,,T1566,T1566.001,T1566.002,T1190,T1059,T1059.001,T1059.003,T1059.004,T1204,T1204.001,T1204.002,T1547,T1547.001,T1053.005,T1136,T1136.001,T1068,T1078,T1078.003,T1078.002,T1027,T1027.001,T1027.002,T1140,T1562,T1562.001,T1112,T1036,T1036.005,T1070,T1070.001,T1003,T1003.001,T1003.002,T1110,T1110.001,T1016,T1049,T1082,T1087,T1087.001,T1087.002,T1021,T1021.002,T1021.001,T1534,T1550.002,T1005,T1039,T1074,T1071,T1071.001,T1095,T1573,T1573.002,T1219,T1041,T1567,T1567.002,T1486,T1490,T1487.001,T1485,T1498,T1498.001,T1090.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8base,"Crypto-Ransomware, Data Broker",2022,,Russia;Eastern Europe,Cybernews,T1595,T1598,T1583,T1587,T1566.001,T1053,T1059,T1129,T1547,T1547.001,T1036,T1070.004,T1112,T1202,T1222,T1497,T1562,T1562.001,T1562.004,T1564,T1564.001,T1003,T1056,T1057,T1082,T1083,T1518.001,T1080,T1005,T1074,T1560,T1071,T1071.001,T1041,T1485,T1490,TA0002,TA0003,TA0004,TA0005,TA0006,TA0007,TA0008,TA0009,TA0040,T1027,T1135,T1486,T1134.001,T1027.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,abyss,Crypto-Ransomware,2020,,Eastern Europe,,T1036.005,T1190,T1537,T1567,T1020,T1078,T1569.002,T1059.003,T1547.009,T1041,T1059.001,T1016.001,T1486,T1566.001,T1566.002,T1027.001,T1114.001,T1029,T1195,T1547.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,akira,Crypto-Ransomware,2023,,Russia,,TA0001,TA0002,TA0003,TA0004,TA0005,TA0006,TA0007,TA0008,TA0009,TA0010,TA0011,TA0040,T1078,T1136.002,T1078.002,T1562.001,T1003.001,T1082,T1570,T1560.001,T1567.002,T1229,T1490,T1059.001,T1136.001,T1112,T1021.001,T1048.003,T1486,T1133,T1059.002,T1018,T1190,T1059.003,T1047,T1566.001,T1566.002,T1003,T1016,T1482,T1048,T1537,T1657,T1219,T1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,alphalocker,"Crypto-Ransomware, Data Broker",2023,,Russia;Eastern Europe,,T1110,T1047,T1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,alphv,"Crypto-Ransomware, RaaS",,,Russia,,T1078,T1133,T1190,TA0002,T1106,T1053,T1059.003,T1059.001,T1569.002,T1072,T1547,T1134.002,T1548.002,T1027,T1562.001,T1070.001,T1140,T1497,T1036,T1112,T1555,T1552,T1003.001,T1018,T1069.001,T1087.001,T1082,T1046,T1135,T1016,T1057,T1007,T1083,TA0008,T1021.002,T1021.004,T1570,T1021.001,T1005,T1039,T1074,T1119,T1560.001,T1071,T1105,T1572,T1573,T1219,T1041,T1020,T1030,T1048.002,T1567.002,T1485,T1486,T1489,T1490,T1498,T1598,T1586,T1558,T1557,TA0001,TA0003,TA0004,TA0005,TA0006,TA0010,TA0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,apos,,2023,,Russia;Eastern Europe,,T1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,apt73,Data Broker,2019,,,,T1486,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,arcusmedia,"Data Broker, RaaS",2024,,,,T1566,T1204,T1053,T1098,T1027,T1562,T1046,T1021.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,atomsilo,Crypto-Ransomware,2021,2021,China,,T1486,T1082,T1190,T1218.005,T1070.004,T1124,T1005,T1497,T1547.001,T1071,T1203,T1486,T1021,T1071.001,T1071.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,avaddon,"Crypto-Ransomware, RaaS",2019,2021,Russia,,T1021,T1133,T1595,T1190,T1498,T1035,T1003,T1046,T1098,T1485,T1486,T1112,T1083,T1016,T1120,T1060,T1055.012,T1043,T1059,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,avoslocker,"Crypto-Ransomware,RaaS",2021,2023,Russia,,T1547,T1547.001,T1486,T1140,T1083,T1564,T1564.003,T1562,T1562.009,T1036,T1036.008,T1106,T1135,T1027,T1027.007,T1057,T1489,T1529,T1124,T1572,T1505.003,T1555,T1133,T1059.003,T1059.001,T1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,azroteam,,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,babuk,Crypto-Ransomware,2021,2021,Russia,,T1059,T1486,T1140,T1083,T1562,T1562.001,T1490,T1106,T1135,T1027,T1027.002,T1057,T1489,T1082,T1049,T1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bianlian,Crypto-Ransomware,2022,,China,,TA0002,TA0005,TA0007,TA0008,TA0040,T1204,T1497,T1082,T1091,T1486,T1059,T1027.002,T1083,T1036,T1518.001,T1120,T1078,T1133,T1566,T1587.001,T1105,T1219,T1136.001,T1098,T1059.001,T1059.003,T1562.001,T1112,T1046,T1135,T1482,T1033,T1069.002,T1087.002,T1018,T1552.001,T1003.001,T1003.003,T1021.001,T1562.004,TT1012,T1115,T1048,T1537,T1567.002,T1053.005,T1012,T1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,blackbasta,"Crypto-Ransomware,HumOR,RaaS",2022,,Russia,,T1566,T1078,T1036,T1068,T1059.001,T1562.001,T1486,T1490,T1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,blackbyte,"Crypto-Ransomware,RaaS",2021,,Russia,,T1598,T1190,T1053.005,T1134,T1140,T1222,T1562.001,T1083,T1069.002,T1570,T1560.001,T1567,T1071.001,T1486,T1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,blackmatter,"Crypto-Ransomware, RaaS",2021,2021,Eastern Europe,,T1566,T1204,T1082,T1497.003,T1490,T1489,T1486,T1057,T1003.001,T1567,T1021.002,T1561,T1007,T1133,T1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,blackout,"Crypto-Ransomware,Data Broker",2024,,Russia,,T1068,T1562.001,T1489,T1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,blackshadow,Crypto-Ransomware,2021,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,blacksuit,Crypto-Ransomware,2023,,Russia;Eastern Europe,,T1566,T1566.001,T1566.002,T1190,T1105,T1572,T1021.001,T1133,T1078,T1562.001,T1484.001,T1486,T1078.002,T1119,T1070.001,T1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,blacktor,"Data Broker, RaaS",2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,bonacigroup,,2021,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,cactus,,2023,,Russia,,TA0001,TA0002,TA0003,TA0005,TA0006,TA0007,TA0008,TA0010,TA0011,TA0040,TA0042,T1190,T1053.005,T1136,T1562.001,T1555.003,T1049,T1021.004,T1567.002,T1219,T1486,T1538.008,T1072,T1027,T1003.001,T1087.002,T1021.001,T1090,T1027.002,T1018,T1570,T1087,T1059,T1047,T1129,T1574.002,T1053,T1055,T1036,T1497,T1564.001,T1562,T1056,T1555,T1003,T1082,T1518.001,T1057,T1083,T1021,T1119,T1071,T1095,T1571,T1573,T1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,cheers,"Crypto-Ransomware, Data Broker",2022,2022,China,,T1190,T1059.001,T1059.003,T1047,T1569.002,T1543.003,T1027.002,T1574.002,T1070.004,T1135,T1087.002,T1082,T1016,T1570,T1021.001,T1039,T1056.001,T1090,T1095,T1572,T1071.001,T1132.001,T1573,T1048,T1567.002,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,cicada3301,Data Broker,2024,,,,T1082,T1059,T1489,T1486,T1078,T1016,T1047,T1562.001,T1622,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ciphbit,"Crypto-Ransomware, Data Broker",2023,,,,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,cloak,"Crypto-Ransomware, RaaS",2023,,,,T1091,T1059,T1129,T1569.002,T1047,T1547.001,T1543.003,T1134,T1222,T1070.004,T1036,T1112,T1027,T1027.005,T1083,T1135,T1120,T1057,T1012,T1518,T1518.001,T1091,T1080,T1560,T1486,T1490,T1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,clop,"Crypto-Ransomware, Data Broker",2019,,Russia,,TA0001,TA0002,TA0003,TA0004,TA0005,TA0007,TA0008,TA0009,TA0010,TA0011,TA0040,T1566.001,T1106,T1547,T1484.001,T1036.001,T1083,T1570,T1005,T1567,T1071,T1486,T1190,T1543.003,T1068,T1562.001,T1018,T1021.002,T1490,T1078,T1204,T1574,T1140,T1057,T1070.004,T1082,T1055.001,T1012,T1202,T1063,T1070.001,T1546.004,T1222.002,T1497,T1114,T1105,T1566,T1563.002,T1574.002,T1070,T1546.011,T1055,T1129,T1505.003,T1041,T1113,T1059.003,T1059.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,conti,"Crypto-Ransomware, RaaS",2019,2022,Russia,,T1078,T1566.001,T1566.002,T1059.003,T1106,T1133,T1055.001,T1140,T1110,T1558.003,T1016,T1049,T1057,T1083,T1135,T1021.002,T1080,T1486,T1489,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,crosslock,"Crypto-Ransomware, HumOR",2023,2023,,,T1497.001,T1490,T1548.002,T1486,T1112,T1070.001,T1518.001,T1053.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,cryptnet,"Crypto-Ransomware,RaaS",2023,2023,,,T1082,T1490,T1486,T1027,T1057,T1587.001,T1083,T1497.001,T1047,T1573.001,T1005,T1491.001,T1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,cuba,"Crypto-Ransomware, RaaS",2019,,Russia,,TA0001,TA0002,TA0005,TA0006,TA0007,TA0008,TA0011,T1133,T1106,T1036.005,T1212,T1124,T1570,T1078.003,T1204.002,T1068,T1021.002,T1135,T1333,T1090.003,T1059.001,T1018,T1071.004,T1059.003,T1083,T1071.001,T1569.002,T1057,T1016.001,T1219,T1078,T1190,T1566,T1072,T1562.001,T1563.002,T1003.001,T1558.003,T1090,T1584.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cyclops,"Crypto-Ransomware,RaaS",2022,2023,,,T1133,T1059.004,T1542.001,T1037.004,T1562.004,T1036.005,T1082,T1090,T1132.002,T1008,T1071.001,T1573.002,T1571,T1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,daixin,,2022,,Russia,,T1598.002,T1190,T1078,T1098,T1003,T1563.001,T1563.002,T1550.002,T1567,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,dAn0n,Data Broker,2024,,,,T1071.001,T1059.001,T1071.003,T1036.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,darkleakmarket,"Crypto-Ransomware, RaaS",2022,2022,Russia,,T1071.001,T1064,T1059.003,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,darkpower,Crypto-Ransomware,2023,2023,,,T1027,T1041,T1005,T1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,darkrace,,2023,2023,,,T1071.001,T1059.001,T1071.003,T1036.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,darkvault,Data Broker,2023,,,,T1071.001,T1036.005,T1059.003,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,dataleak,Data Broker,2022,2023,,,T1071.003,T1027,T1041,T1036.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,donex,"Crypto-Ransomware, Data Broker",2024,,Russia,,TA0002,TA0003,TA0005,TA0006,TA0007,TA0009,TA0040,T1047,T1543.003,T1027,T1056,T1007,T1074,T1486,T1059,T1027.005,T1010,T1119,T1489,T1064,T1027.009,T1016,T1490,T1036,T1018,T1485,T1129,T1057,T1070.001,T1082,T1070.004,T1083,T1202,T1135,T1222,T1518.001,T1548,T1562.001,T1564.003,T1071.003,T1059.001,T1005​,T1106,TA0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,donutleaks,Crypto-Ransomware,2022,,Russia,,T1071.003,T1059.001,T1041,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,dragonforce,"Crypto-Ransomware, Data Broker",2023,,Malaysia,,T1059.003,T1071.001,T1036.005,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,dunghill_leak,"Crypto-Ransomware, Data Broker, HumOR",2023,,Est EU,,T1071.003,T1041,T1059.001,T1005​,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ElDorado,,2024,,USA,,T1190,T1059,T1059.003,T1059.001,T1543,T1547,T1078,T1490,T1027,T1003,T1135,T1021.002,T1005,T1071.001,T1486,T1068,T1552,T1018,T1021.001,T1074.001,T1041,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,embargo,Data Broker,2024,,,,T1082,T1190,T1140,T1497.003,T1071.001,T1486,T1070.004,T1078,T1120,T1106,T1057,T1112,T1134,T1091,T1497.001,T1562.001,T1622,T1490,T1567,T1518.001,T1098,T1614.001,T1543.003,T1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
