ID,Gang name,Ransomware Type,Anno inizio attività,Anno fine attività,Country of origin,Source,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS,TTPS
48,everest,"Crypto-Ransomware, RaaS",2020,,Russia;Eastern Europe,,T1486,T1133,T1078,T1021.001,T1046,T1003.001,T1003.003,T1071.001,T1041,T1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evil Corp,"Crypto-Ransomware, RaaS",2024,,,,T1566001,T1190,T1189,T1204002,T1059001,T1027,T1036005,T1555003,T1552001,T1584005,T1210,T1005,T1115,T1219,T1486,T1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flocker,"Crypto-Ransomware, Data Broker, RaaS",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,freecivilian,Crypto-Ransomware,2022,2023,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,groove,"Crypto-Ransomware, RaaS",2020,2021,Russia,,T1190,T1003,,T1059,T1021,T1210,T1087,T1482,T1562,T1537,T1567,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,handala,Wiper,2023,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,hiveleak,"Crypto-Ransomware, RaaS",2021,2023,Russia;Eastern Europe,,T1133,T1190,T1566,T1078,T059.001,T1059.003,T1047,T1070.001,T1027.002,T1112,T1562.001,T1003.001,T1007,T1074.001,T1560,T1071.001,T1573,T1219,T1567.002,T1486,T1490,T1491.001,T1537,T1070,T1562,T1059,T1566.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,hunters,Crypto-Ransomware,2023,,Russia,,TA0002,TA0003,TA0005,TA0007,TA0011,TA0040,T1106,T1547,T1027,T1057,T1071,T1486,T1129,T1562,T1082,T1071.001,T1083,T1547.001,T1562.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,icefire,Crypto-Ransomware,2022,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,incransom,,2023,,,,T1566,T1190,T1059,T1078,T1068,T1027,T1003,T1016,T1021.001,T1074,T1486,T1105,T1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,insane,"Crypto-Ransomware, Data Broker",2024,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,karakurt,Crypto-Ransomware,2021,2023,Russia,,T1219,T1190,T1048,T1591.002,T1078,T1567.002,T1083,T1133,T1589.002,T1566.001,T1589.001,T1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,karma,Crypto-Ransomware,2021,2021,Russia,,T1485,T1486,T1012,T1082,T1120,T1204,T1204.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,kelvinsecurity,Crypto-Ransomware,2013,2022,Venezuela,,T1190,T1566.001,T1059.001,T1053,T1136,T1547.001,T1068,T1027,T1070.004,T1005,T1074,T1041,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,killsec,Data Broker,2023,,,,T1650,T1078,T1102,T1021,T1059,T1120,T1083,T1213,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,knight (cyclops),,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,la_piovra,,2023,2023,,,T1071.001,T1059.001,T1036.005,T1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,lockbit2,"Crypto-Ransomware, RaaS",2021,2022,Russia,,T1078,T1133,T1190,T1053.005,T1059,T1053.005,T1136.001,T1505.003,T1068,T1548.002,T1070,T1140,T1484.001,T1562.001,T1564.003,T1003,T1555,T1046,T1057,T1082,T1614,T1021,T1021.002,T1030,T1041,T1219,T1486,T1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,lockbit3,"Builder, Crypto-Ransomware, Data Broker, HumOR, RaaS",2022,,Russia,,T1480.001,T1614.001,T1133,T1189,T1566,T1078,T1190,TA0004,T1082,T1489,TA0002,T1547,T1485,T1490,T1486,T1491.001,T1027,T1070.004,TA0010,T1567.002,T1567.002,T1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,lorenz,"Crypto-Ransomware, RaaS",2022,2023,Russia,,T1486,T1071.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,losttrust,Data Broker,2022,2023,Russia,,T1486,T1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,lv,"Crypto-Ransomware, RaaS",2020,2022,Ukraine,,T1190,T1059.001,T1059.003,T1078.002,T1505.003,T1547.001,T1078.002,T1036.004,T1027.002,T1484.001,T1562.001,T1070.004,T1003.001,T1083,T1021.001,T1105,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,malas,"Crypto-Ransomware, HumOR",2023,2023,,,T1059,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,malekteam,Data Broker,2023,,Iran,,T1486,T1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,mallox,Crypto-Ransomware,2023,,Russia,,T1566.002,T1190,T1078,T1110,T1059.003,T1059.001,T1027.001,T1112,T1036.005,T1070.004,T1620,T1016.001,T1082,T1012,T1049,T1537,T1020,T1029,T1041,T1567,T1489,T1490,T1486,T1547.009,T1547.001,T1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,medusa,"Crypto-Ransomware, RaaS",2021,,Russia,,T1566,T1562.009,T1059.001,T1490,T1133,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,meow,Data Broker / Data exfiltration,2023,,,,TA0001,T1190,T1133,T1566,TA0002,T1129,TA0005,T1027,T1027.005,T1036,T1497,TA0006,T1056,TA0007,T1057,T1082,T1083,T1518.001,TA0008,T1080,TA0009,TA0011,T1071,T1573,TA0010,T1041,TA0034,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,metaencryptor,"Crypto-Ransomware, RaaS",2022,2023,,,T1486,T1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,midas,"Crypto-Ransomware, RaaS",2021,2022,Russia,,T1059,T1569.002,T1112,T1562.001,T1010,T1057,T1518.001,T1083,T1490,T1489,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,mindware,"Crypto-Ransomware, RaaS",2022,2022,,,TA0005,T1485,T1486,T1027.002,T1007,T1059,T1112,TA0010,T1018,T1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,moneymessage,Crypto-Ransomware,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,monti,"Crypto-Ransomware, RaaS",2022,,Eastern Europe,,T1078,T1566.001,T1566.002,T1059.003,T1106,T1133,T1055.001,T1140,T1110,T1558.003,T1016,T1049,T1057,T1083,T1135,T1021.002,T1080,T1486,T1489,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,mosesstaff,"Data Broker, Locker, MBR Modifier, Wiper",2021,2021,Iran,,T1087,T1087.001,T1587,T1587.001,T1190,T1562,T1562.004,T1105,T1027,T1027.013,T1588,T1588.002,T1021,T1021.002,T1505,T1505.003,T1553,T1553.002,T1082,T1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,mountlocker,"Crypto-Ransomware,RaaS",2020,2022,,,T1078,T1133,T1059.001,T1569,T1546.001,T1222.001,T1070.004,T1069.002,T1020,T1071,T1071.001,T1486,T1490,T1489,S0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,nefilim,"Crypto-Ransomware, RaaS",2020,2021,,,T1595.002,T1133,T1608,T1068,T003.001,T1550,T1570,T1018,T1083,T1120,T1135,T1020,T1041,T1030,T1567,T1059,T1486,T1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,nightsky,"Crypto-Ransomware, Data Broker",2022,2022,China,,T1190,T1059.001,T1059.003,T1047,T1569.002,T1543.003,T1027.002,T1574.002,T1070.004,T1135,T1087.002,T1082,T1016,T1570,T1021.001,T1039,T1056.001,T1090,T1095,T1572,T1071.001,T1132.001,T1573,T1048,T1567.002,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,noescape,"Crypto-Ransomware,RaaS",2019,2023,Russia,,T1133,T1078,T1204.002,T1053.005,T1547.001,T1078,T1562.001,T1027.002,T1055,T1070.004,T1112,T1140,T1497.001,T1003,T1482,T1069,T1021,T1021.001,T1560.001,T1071.001,T1567.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,nokoyawa,"Crypto-Ransomware, HumOR",2022,2023,Russia,,T1059.003,T1047,T1486,T1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,noname,"Crypto-Ransomware, Data Broker, Imitation",2023,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,onyx,Crypto-Ransomware,2022,2023,Russia,,T1566,T1106,T1547.001,T1027,T1552.001,T1082,T1083,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,pandora,"Crypto-Ransomware, Data Broker",2022,2022,China,,T1195,2,T1509,T1082,T1486,T1490,T1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,pay2key,Crypto-Ransomware,2020,2021,,,T1179,T1215,T1055,T1045,T1046,T1012,T1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,payloadbin,Crypto-Ransomware,2021,2022,,,T1486,T1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,play,Crypto-Ransomware,2022,,Russia;Ukraine,,T1190,T1078,T1133,TA0007,T1016,T1518001,T1562001,T1070001,T1552,T1003,T1059,T1570,T1484001,T1560001,T1048,T1486,T1657,T1560.001,T1070.001,T1027.010,T1030,T1562.001,T1078.002,T1070.004,T1083,T1105,T1003.001,T1078.003,T1587.001,T1059.001,T1057,T1018,T1021.002,T1518.001,T1082,T1588.002,T1059.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,projectrelic,"Crypto-Ransomware, RaaS",2022,2022,Russia,,T1071.001,T1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,pysa,"Crypto-Ransomware, RaaS",2019,2021,,,T1027.002,T1007,T1059,TA0010,T1082,T1490,T1048.003,T1567.002,T1110,T1562,T1070.004,T1036,T1112,T1046,T1003.001,T1021.001,T1489,T1016,T1569.002,T1552.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,qilin,Crypto-Ransomware,2022,,Russia,,T1078,T1566,T1190,T1053,T1059.003,T1059.001,T1037,T1068,T1548,T1055,T1014,T1211,T1480,T1497,T1027,T1003,T1003.001,T1082,T1010,T1046,T1018,T1021,T1021.001,T1021.004,T1570,T1569.002,T1005,T1011,T1011.001,T1001,T1001.001,T1486,T1485,T1490,T1561.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,qiulong,"Crypto-Ransomware, Data Broker",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,quantum,,2022,2023,,,T1204,T1614.001,T1218.011,T1059.001,T1059.003,T1055,T1055.012,T1003.001,T1486,T1482,T1021.002,T1083,T1518.001,T1047,T1087.002,T1082,T1018,T1053.005,T1071.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ragnarlocker,"Crypto-Ransomware, Data Broker, HumOR",2019,2023,,,T1059,T1059.003,T1543,T1543.003,T1486,T1564,T1564.006,T1562,T1562.001,T1490,T1120,T1489,T1218,T1218.007,T1218.010,T1218.011,T1614,T1569,T1569.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ragnarok,,2019,2021,,,T1047,T1543,T1543.003,T1546,T1546.007,T1562,T1562.004,T1070.004,T1006,T1555.003,T1555.004,T1552,T1552.001,T1005,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ragroup,"Crypto-Ransomware, Data Broker, HumOR",2023,2023,,,T1016.001,T1059.001,T1566.001,T1547.009,T1486,T1569.002,T1114.001,T1567,T1041,T1537,T1078,T1020,T1059.003,T1036.005,T1566.002,T1190,T1027.001,T1547.001,T1195,T1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,rancoz,Crypto-Ransomware,2022,2023,,,T1005,T1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ransomedvc,"Crypto-Ransomware, Data Broker",2023,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ransomexx,"Crypto-Ransomware, HumOR,RaaS",2020,,Russia,,T1005,T1486,T1105,TA0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ransomhouse,,,,Eastern Europe,,T1588,T1588.001,T1583,T1583.004,T1078,T1078.002,T1190,T1059,T1059.004,T1078,T1078.002,T1098,T1497,T1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ransomhub,"Crypto-Ransomware, RaaS",2024,,Russia,,TA0002,TA0005,TA0008,TA0040,T1047,T1070.001,T1570,T1486,T1059.003,T1562,T1489,T1490,T1082,T1083,T1057,T1560,T1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,RansomwareBlog (medusalocker),"Crypto-Ransomware, RaaS",2019,2023,Russia,,T1133,T1566,T1059.001,T1562.009,T1486,T1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ranstreet,,2023,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
